,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
31315,1654761920,14.05,53.13,9,400,12839,19824,939.832,0.29,0.32,1.98,0.329,0.02,577,0
31316,1654761921,14.08,52.74,14,400,12840,19822,939.839,0.29,0.31,2.03,0.316,0.007,578,0
31317,1654761922,14.14,52.4,16,400,12837,19814,939.832,0.29,0.3,2.0,0.312,0.007,579,0
31318,1654761923,14.17,52.13,3,400,12849,19830,939.831,0.29,0.3,1.97,0.307,0.007,580,0
31319,1654761924,14.22,51.84,0,400,12849,19830,939.827,0.28,0.31,1.92,0.321,0.02,581,0
31320,1654761925,14.22,51.64,2,400,12841,19819,939.827,0.28,0.3,1.88,0.315,0.02,582,0
31321,1654761926,14.29,51.42,11,400,12843,19813,939.843,0.27,0.3,1.84,0.308,0.019,583,0
31322,1654761927,14.35,51.06,13,400,12842,19818,939.837,0.24,0.27,1.65,0.276,0.017,584,0
31323,1654761928,14.36,50.93,8,400,12845,19824,939.833,0.22,0.24,1.5,0.252,0.016,585,0
31324,1654761929,14.39,50.78,14,400,12841,19814,939.823,0.21,0.23,1.43,0.239,0.015,586,0
31325,1654761930,14.42,50.63,9,400,12841,19821,939.825,0.2,0.21,1.39,0.217,0.005,587,0
31326,1654761931,14.45,50.5,4,400,12848,19830,939.824,0.2,0.2,1.35,0.21,0.005,588,0
31327,1654761932,14.46,50.43,13,400,12850,19818,939.825,0.18,0.19,1.25,0.195,0.004,589,0
31328,1654761933,14.48,50.36,9,400,12843,19820,939.838,0.17,0.18,1.2,0.186,0.004,590,0
31329,1654761934,14.52,50.25,1,400,12853,19826,939.834,0.16,0.17,1.13,0.177,0.004,591,0
31330,1654761935,14.53,50.14,2,400,12850,19823,939.831,0.16,0.17,1.12,0.174,0.004,592,0
31331,1654761936,14.55,50.07,4,400,12849,19824,939.839,0.17,0.17,1.15,0.179,0.004,593,0
31332,1654761937,14.56,50.0,13,400,12854,19833,939.833,0.17,0.17,1.15,0.18,0.004,594,0
31333,1654761938,14.58,49.94,3,400,12848,19822,939.835,0.17,0.19,1.17,0.195,0.012,595,0
31334,1654761939,14.61,49.85,0,400,12852,19824,939.834,0.18,0.2,1.24,0.207,0.013,596,0
31335,1654761940,14.62,49.83,11,400,12851,19829,939.824,0.19,0.2,1.27,0.212,0.013,597,0
