,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
0,1654712187,27.45,43.27,48,488,12844,20723,937.586,2.04,2.12,14.05,2.191,0.049,0,0
1,1654712188,27.41,43.54,32,457,12857,20743,937.589,2.16,2.24,14.83,2.313,0.052,1,0
2,1654712189,27.36,43.76,34,455,12857,20747,937.604,2.19,2.28,15.07,2.35,0.053,2,0
3,1654712190,27.32,43.84,29,454,12858,20752,937.61,2.24,2.32,15.39,2.4,0.054,3,1
4,1654712191,27.27,43.98,28,456,12860,20751,937.601,2.26,2.35,15.58,2.429,0.055,4,1
5,1654712192,27.22,44.09,19,449,12862,20754,937.583,2.29,2.38,15.78,2.46,0.056,5,0
6,1654712193,27.22,44.13,33,463,12860,20746,937.575,2.36,2.45,16.21,2.528,0.057,6,0
7,1654712194,27.2,44.2,43,454,12854,20738,937.58,2.41,2.5,16.58,2.585,0.058,7,0
8,1654712195,27.16,44.27,27,440,12861,20749,937.565,2.44,2.53,16.79,2.618,0.059,8,0
9,1654712196,27.15,44.37,29,461,12861,20743,937.566,2.43,2.53,16.75,2.612,0.059,9,0
10,1654712197,27.11,44.4,30,459,12853,20752,937.571,2.42,2.51,16.64,2.595,0.059,10,0
11,1654712198,27.14,44.46,25,441,12862,20751,937.565,2.4,2.49,16.48,2.57,0.058,11,0
12,1654712199,27.09,44.47,24,457,12864,20755,937.565,2.35,2.44,16.17,2.522,0.057,12,0
13,1654712200,27.05,44.55,16,450,12863,20766,937.571,2.32,2.41,15.97,2.491,0.056,13,0
14,1654712201,27.02,44.6,17,448,12858,20765,937.573,2.27,2.36,15.62,2.436,0.055,14,0
15,1654712202,27.01,44.65,13,435,12870,20766,937.572,2.25,2.33,15.46,2.411,0.054,15,0
16,1654712203,26.98,44.74,11,441,12867,20772,937.583,2.19,2.28,15.08,2.351,0.053,16,0
17,1654712204,26.95,44.77,11,431,12868,20772,937.575,2.15,2.24,14.82,2.311,0.052,17,0
18,1654712205,26.95,44.73,10,437,12868,20767,937.581,2.05,2.13,14.13,2.203,0.05,18,0
19,1654712206,26.95,44.86,11,426,12864,20771,937.584,2.01,2.09,13.87,2.162,0.049,19,0
20,1654712207,26.92,44.83,15,431,12861,20767,937.599,1.96,2.03,13.48,2.102,0.047,20,0
21,1654712208,26.94,44.88,15,424,12870,20772,937.595,1.94,2.01,13.34,2.081,0.047,21,0
22,1654712209,26.9,44.9,9,426,12868,20772,937.603,1.93,2.01,13.3,2.074,0.047,22,0
23,1654712210,28.33,44.79,0,402,12878,20785,937.603,1.94,2.02,13.36,2.083,0.047,23,0
24,1654712211,28.77,43.81,0,406,12879,20792,937.609,1.95,2.02,13.41,2.091,0.047,24,0
25,1654712212,29.0,42.69,0,412,12874,20793,937.606,1.98,2.05,13.61,2.122,0.048,25,0
26,1654712213,29.12,41.85,0,410,12873,20792,937.606,2.02,2.1,13.89,2.166,0.049,26,0
27,1654712214,29.22,41.17,0,420,12876,20793,937.607,2.02,2.1,13.89,2.166,0.049,27,0
28,1654712215,29.31,40.62,11,434,12863,20782,937.608,2.0,2.07,13.74,2.142,0.048,28,0
29,1654712216,29.42,40.3,18,420,12868,20775,937.609,1.96,2.04,13.5,2.106,0.048,29,0
30,1654712217,29.48,40.03,26,440,12863,20760,937.609,1.93,2.01,13.28,2.071,0.047,30,0
31,1654712218,29.51,39.78,36,438,12861,20759,937.61,1.93,2.01,13.29,2.073,0.047,31,0
32,1654712219,29.58,39.64,37,455,12867,20769,937.607,1.93,2.0,13.27,2.07,0.047,32,0
33,1654712220,29.63,39.45,21,429,12863,20768,937.602,1.96,2.04,13.49,2.103,0.048,33,0
34,1654712221,29.67,39.32,31,443,12867,20761,937.6,1.97,2.04,13.54,2.112,0.048,34,0
35,1654712222,29.72,39.23,22,425,12868,20773,937.587,1.97,2.04,13.54,2.111,0.048,35,0
36,1654712223,29.74,39.09,28,429,12863,20762,937.591,1.97,2.05,13.58,2.118,0.048,36,0
37,1654712224,29.77,39.04,28,432,12863,20760,937.587,1.99,2.07,13.69,2.135,0.048,37,0
38,1654712225,29.8,38.92,29,423,12868,20767,937.588,1.98,2.06,13.65,2.129,0.048,38,0
39,1654712226,29.86,38.82,29,424,12865,20768,937.593,1.95,2.02,13.41,2.09,0.047,39,0
40,1654712227,29.85,38.75,21,424,12867,20771,937.583,1.91,1.99,13.17,2.054,0.046,40,0
41,1654712228,29.9,38.74,14,422,12869,20775,937.584,1.87,1.94,12.85,2.004,0.045,41,0
42,1654712229,29.92,38.71,28,438,12861,20769,937.58,1.87,1.95,12.89,2.01,0.045,42,0
43,1654712230,29.94,38.62,9,420,12871,20786,937.575,1.86,1.93,12.79,1.994,0.045,43,0
44,1654712231,29.94,38.61,13,428,12863,20777,937.581,1.85,1.92,12.71,1.982,0.045,44,0
45,1654712232,29.96,38.54,12,422,12865,20777,937.587,1.92,2.0,13.23,2.062,0.047,45,0
46,1654712233,30.0,38.5,13,426,12871,20788,937.577,1.97,2.04,13.55,2.112,0.048,46,0
47,1654712234,30.03,38.48,15,428,12863,20777,937.574,2.02,2.1,13.93,2.172,0.049,47,0
48,1654712235,30.04,38.45,16,436,12860,20771,937.573,2.04,2.11,14.01,2.185,0.049,48,0
49,1654712236,30.04,38.44,24,438,12860,20771,937.577,2.04,2.12,14.07,2.194,0.05,49,0
50,1654712237,30.06,38.38,22,436,12858,20770,937.577,2.07,2.15,14.21,2.216,0.05,50,0
51,1654712238,30.07,38.34,31,426,12862,20765,937.568,2.11,2.2,14.55,2.269,0.051,51,0
52,1654712239,30.1,38.29,26,429,12860,20763,937.559,2.15,2.23,14.79,2.306,0.052,52,0
53,1654712240,28.69,38.39,61,483,12837,20732,937.562,2.2,2.28,15.13,2.36,0.053,53,0
54,1654712241,28.21,39.31,68,479,12834,20721,937.562,2.3,2.39,15.83,2.468,0.056,54,0
55,1654712242,28.0,40.3,72,477,12839,20724,937.569,2.33,2.42,16.02,2.498,0.056,55,0
