Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
14.05,53.13,9.0,400.0,12839.0,19824.0,939.832,0.29,0.32,1.98,0.329,0.02,0
14.08,52.74,14.0,400.0,12840.0,19822.0,939.839,0.29,0.31,2.03,0.316,0.007,0
14.14,52.4,16.0,400.0,12837.0,19814.0,939.832,0.29,0.3,2.0,0.312,0.007,0
14.17,52.13,3.0,400.0,12849.0,19830.0,939.831,0.29,0.3,1.97,0.307,0.007,0
14.22,51.84,0.0,400.0,12849.0,19830.0,939.827,0.28,0.31,1.92,0.321,0.02,0
14.22,51.64,2.0,400.0,12841.0,19819.0,939.827,0.28,0.3,1.88,0.315,0.02,0
14.29,51.42,11.0,400.0,12843.0,19813.0,939.843,0.27,0.3,1.84,0.308,0.019,0
14.35,51.06,13.0,400.0,12842.0,19818.0,939.837,0.24,0.27,1.7150000000000016,0.276,0.017,0
14.36,50.93,8.0,400.0,12845.0,19824.0,939.833,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.016,0
14.39,50.78,14.0,400.0,12841.0,19814.0,939.823,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.015,0
14.42,50.63,9.0,400.0,12841.0,19821.0,939.825,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
14.45,50.5,4.0,400.0,12848.0,19830.0,939.824,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
14.46,50.43,13.0,400.0,12850.0,19818.0,939.825,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
14.48,50.36,9.0,400.0,12843.0,19820.0,939.838,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
14.52,50.25,1.0,400.0,12853.0,19826.0,939.834,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
14.53,50.14,2.0,400.0,12850.0,19823.0,939.831,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
14.55,50.07,4.0,400.0,12849.0,19824.0,939.839,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
14.56,50.0,13.0,400.0,12854.0,19833.0,939.833,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
14.58,49.94,3.0,400.0,12848.0,19822.0,939.835,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.012,0
14.61,49.85,0.0,400.0,12852.0,19824.0,939.834,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.013,0
14.62,49.83,11.0,400.0,12851.0,19829.0,939.824,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.013,0
12.79,50.37,37.0,400.0,12829.0,19792.0,939.818,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
12.66,50.95,32.0,400.0,12834.0,19812.0,939.828,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
12.57,51.57,24.0,400.0,12832.0,19803.0,939.836,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
12.4,52.62,39.0,400.0,12834.0,19797.0,939.856,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.014,0
12.36,53.08,26.0,400.0,12841.0,19808.0,939.85,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.013,0
12.29,53.51,25.0,400.0,12839.0,19808.0,939.845,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.013,0
12.25,53.94,28.0,400.0,12842.0,19814.0,939.842,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.012,0
12.17,54.57,16.0,400.0,12852.0,19820.0,939.842,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.011,0
12.14,54.85,11.0,400.0,12847.0,19818.0,939.843,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.01,0
12.09,55.12,17.0,400.0,12847.0,19813.0,939.828,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.009,0
12.08,55.39,15.0,400.0,12851.0,19829.0,939.832,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.008,0
12.05,55.63,18.0,400.0,12847.0,19819.0,939.836,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.008,0
12.01,55.81,17.0,400.0,12846.0,19811.0,939.837,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
12.01,56.03,22.0,400.0,12847.0,19819.0,939.838,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
11.98,56.16,3.0,400.0,12855.0,19824.0,939.836,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.008,0
11.95,56.36,0.0,400.0,12854.0,19822.0,939.844,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
11.94,56.49,6.0,400.0,12853.0,19825.0,939.845,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
11.93,56.61,8.0,400.0,12855.0,19824.0,939.841,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.006000000000000009,0
11.91,56.7,11.0,400.0,12858.0,19827.0,939.84,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.012,0
11.9,56.83,10.0,400.0,12854.0,19827.0,939.839,0.23500000000000054,0.2649999999999999,1.7150000000000016,0.266,0.012,0
