Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,TVOC_eCO2_ratio,Temperature[C]_25th_percentile,Temperature[C]_50th_percentile,Temperature[C]_75th_percentile,Humidity[%]_25th_percentile,Humidity[%]_50th_percentile,Humidity[%]_75th_percentile,TVOC[ppb]_25th_percentile,TVOC[ppb]_50th_percentile,TVOC[ppb]_75th_percentile,eCO2[ppm]_25th_percentile,eCO2[ppm]_50th_percentile,eCO2[ppm]_75th_percentile
3.995,53.9,1400.0,420.0,12935.0,19377.0,938.689,2.04,2.12,14.05,2.192,0.05,3.333333333333333,0,1,1,0,0,0,0,0,0,0,0,1
19.832,52.59,1044.0,480.0,12860.0,19472.0,938.861,1.86,1.93,12.77,1.992,0.045,2.175,0,0,1,0,0,1,0,0,1,0,0,0
-3.547,52.55,116.0,400.0,13215.0,20098.0,939.655,1.82,1.89,12.53,1.954,0.044,0.29,0,1,1,0,0,1,1,1,1,1,1,1
20.784,53.71,1203.0,413.0,12913.0,19427.0,938.69,1.59,1.65,10.95,1.707,0.039,2.9128329297820823,0,0,1,0,0,0,0,0,0,0,0,1
-5.107,56.04,349.0,400.0,13075.0,19916.0,939.288,0.33,0.35,2.29,0.357,0.008,0.8725,1,1,1,0,0,0,0,1,1,1,1,1
28.83,42.36,184.0,428.0,12775.0,20536.0,937.4915,1.65,1.71,11.36,1.771,0.04,0.4299065420560747,0,0,0,1,1,1,0,1,1,0,0,1
28.35,61.2,2264.0,400.0,13399.0,20050.0,937.4915,0.64,0.67,4.42,0.689,0.016,5.66,0,0,0,0,0,0,0,0,0,1,1,1
-8.176,51.49,173.0,400.0,13167.0,20094.0,939.654,1.25,1.3,8.59,1.339,0.03,0.4325,1,1,1,0,0,1,0,1,1,1,1,1
16.851,47.43,1117.0,400.0,12908.0,19447.0,938.727,1.72,1.78,11.81,1.842,0.042,2.7925,0,0,1,1,1,1,0,0,1,1,1,1
-21.004,52.27,1390.0,418.0,12972.0,19393.0,938.715,1.66,1.73,11.45,1.785,0.04,3.325358851674641,1,1,1,0,0,1,0,0,0,0,0,1
