chunk,chunk,chunk,chunk,chunk,chunk,chunk,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error
key,chunk_index,start_index,end_index,start_date,end_date,period,sampling_error,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
[0:3130],0,0,3130,,,reference,0.014654169660699873,2.6211785354451833,2.665141044427283,2.5772160264630837,4.05563331975093,1.7353718737593693,False
[3131:6261],1,3131,6261,,,reference,0.014654169660699873,2.7203330601170133,2.764295569099113,2.6763705511349136,4.05563331975093,1.7353718737593693,False
[6262:9392],2,6262,9392,,,reference,0.014654169660699873,2.4730368091709853,2.516999318153085,2.4290743001888857,4.05563331975093,1.7353718737593693,False
[9393:12523],3,9393,12523,,,reference,0.014654169660699873,2.7872016510845166,2.831164160066616,2.743239142102417,4.05563331975093,1.7353718737593693,False
[12524:15654],4,12524,15654,,,reference,0.014654169660699873,2.6329592076905137,2.6769217166726134,2.588996698708414,4.05563331975093,1.7353718737593693,False
[15655:18785],5,15655,18785,,,reference,0.014654169660699873,2.705191226107912,2.7491537350900117,2.6612287171258124,4.05563331975093,1.7353718737593693,False
[18786:21916],6,18786,21916,,,reference,0.014654169660699873,2.8559950875374582,2.899957596519558,2.8120325785553586,4.05563331975093,1.7353718737593693,False
[21917:25047],7,21917,25047,,,reference,0.014654169660699873,3.090227180826992,3.1341896898090917,3.0462646718448925,4.05563331975093,1.7353718737593693,False
[25048:28178],8,25048,28178,,,reference,0.014654169660699873,3.189367567449276,3.2333300764313755,3.145405058467176,4.05563331975093,1.7353718737593693,False
[28179:31314],9,28179,31314,,,reference,0.014642482786155066,3.8795356421216427,3.9234630904801078,3.8356081937631776,4.05563331975093,1.7353718737593693,False
[0:3130],0,0,3130,,,analysis,0.014654169660699873,4.2596376594575345,4.303600168439634,4.215675150475435,4.05563331975093,1.7353718737593693,True
[3131:6261],1,3131,6261,,,analysis,0.014654169660699873,5.557099637996691,5.601062146978791,5.513137129014591,4.05563331975093,1.7353718737593693,True
[6262:9392],2,6262,9392,,,analysis,0.014654169660699873,3.8289856166501695,3.872948125632269,3.78502310766807,4.05563331975093,1.7353718737593693,False
[9393:12523],3,9393,12523,,,analysis,0.014654169660699873,5.133163311922106,5.177125820904205,5.089200802940006,4.05563331975093,1.7353718737593693,True
[12524:15654],4,12524,15654,,,analysis,0.014654169660699873,4.94530952123177,4.989272030213869,4.90134701224967,4.05563331975093,1.7353718737593693,True
[15655:18785],5,15655,18785,,,analysis,0.014654169660699873,3.655351461661231,3.6993139706433307,3.6113889526791314,4.05563331975093,1.7353718737593693,False
[18786:21916],6,18786,21916,,,analysis,0.014654169660699873,3.116287356307705,3.1602498652898046,3.0723248473256053,4.05563331975093,1.7353718737593693,False
[21917:25047],7,21917,25047,,,analysis,0.014654169660699873,2.9921073618141465,3.036069870796246,2.948144852832047,4.05563331975093,1.7353718737593693,False
[25048:28178],8,25048,28178,,,analysis,0.014654169660699873,4.832763813266742,4.8767263222488415,4.788801304284642,4.05563331975093,1.7353718737593693,True
[28179:31314],9,28179,31314,,,analysis,0.014642482786155066,6.6457268767223665,6.689654325080832,6.601799428363901,4.05563331975093,1.7353718737593693,True
